Korean,English
계획을 ,Make a plan
루크 ,Luke
이래 ,Like this
모르고 ,I don't know
없잖아요 ,There isn't any
그녀 ,She
그동안 ,In the meantime
거니 ,Goni
빼고 ,Except
거긴 ,There
이라고 ,Said
그랬어요 ,"Yes, it was"
더는 ,No more
죽지 ,Don't die
녀석 ,guy
몰랐어 ,I didn't know
리 ,lee 
뭐라 ,What
박사 ,doctor 
죽였어 ,I killed him
믿고 ,Believe
좋네요 ,That's good
여기까지 ,Up to here
이쪽은 ,This side is
사람들에게 ,To the people
아빠를 ,Dad
어려운 ,difficult 
봤는데 ,I saw it
적은 ,Less
법을 ,The law
모르겠다 ,I don't know 
신이 ,God
그렇고 ,Yes
관심 ,interest 
집이 ,The house
오직 ,Only
좋아해요 ,i like you 
있었습니다 ,There was
나은 ,Better
않아도 ,Don't have to
나면 ,When I come out
옛날 ,old days
얘가 ,This guy
식으로 ,In this way
그걸로 ,With that
냄새가 ,The smell
못하는 ,Can't
인간 ,human
세상이 ,The world
책 ,book 
모두에게 ,To everyone
말해줘 ,Tell me
처음으로 ,For the first time
그러게 ,I know 
실제로 ,actually 
제임스 ,James
데려다 ,Take me
크리스마스 ,christmas 
보기 ,look 
신의 ,God
말했잖아 ,I told you
말했어 ,I told you
돌아갈 ,Go back
한번도 ,Never
긴 ,long 
움직이지 ,Don't move
착한 ,Good
일이지 ,It's work
쓰지 ,Don't write
곳 ,place 
도와주세요 ,help 
그러죠 ,"Yeah, right"
거니까 ,That's why
곁에 ,next to you
그녀에게 ,To her
그러는 ,That's right
머리에 ,On the head
확인해 ,Check it out
싶어서 ,Because I wanted to
것들을 ,Things
데이트 ,date 
사고 ,accident 
한거야 ,I did it
세상 ,world
감사해요 ,thank you 
책을 ,Book
배 ,ship 
젊은 ,young
가자고 ,Let's go
아닌가 ,Isn't it?
좋겠어요 ,I wish
비행기 ,airplane 
맥스 ,Max
하잖아 ,I said so
없소 ,No
애들은 ,The kids
오늘밤 ,Tonight
고맙다 ,thanks 
라는 ,called
언젠가 ,someday 
필요할 ,Need
아이들을 ,Children
우리와 ,With us
머리가 ,The head
그것이 ,That's it
세계 ,world 
애는 ,The child
죽여 ,Kill
차가 ,The car
죽고 ,Dead
따라와 ,Follow me
힘이 ,strength
확실해 ,I'm sure
기억해 ,Remember
있어도 ,Even if there is
자네를 ,You
오래된 ,old
기억나 ,I remember
루시어스 ,Lucius
분은 ,The person is
얘기하고 ,Talking
상관없어 ,doesn't care 
다섯 ,five 
이제는 ,Now
없네요 ,There isn't any
돌아가 ,Go back
자리에 ,In place
이만 ,That's it
바랍니다 ,I hope
느낌이 ,I feel
어머 ,oh 
뭐든지 ,Anything
되요 ,Yes
마약 ,drugs
행운을 ,Good luck
봐야 ,I have to see
선생님은 ,The teacher
줄은 ,The line
몰래 ,Secretly
불쌍한 ,Poor
아니잖아요 ,"No, that's not true"
있거든요 ,There is
며칠 ,A few days
저랑 ,With me
결코 ,Never
이걸로 ,With this
안녕히 ,Goodbye
아이는 ,The child
자네의 ,Your
입을 ,mouth
근처에 ,Nearby
들은 ,I heard
뭐하는거야 ,what are you doing 
기다려요 ,Wait
뭐라도 ,Anything
않지만 ,But
배가 ,The ship
뒤 ,back 
어떡해 ,oh my god 
몸 ,body 
죽이지 ,Don't kill me
가질 ,Have
해주세요 ,Please do it
봐라 ,Look
어서요 ,Come on
어째서 ,Why
놓고 ,Let go
지금도 ,Even now
아나 ,Anna
맞다 ,right 
좋네 ,Good
의해 ,By
시간에 ,On time
차라리 ,Rather
헨리 ,Henry
가끔은 ,Sometimes
생각했어 ,I thought
할아버지 ,grandfather
덜 ,Less
곳은 ,The place is
남편 ,husband 
애들을 ,The kids
구할 ,Save
싶은데 ,I want to
불 ,fire 
생일 ,birthday 
저렇게 ,Like that
돈은 ,Money is
아직은 ,Not yet
상태가 ,The status is
위로 ,consolation 
가져 ,Take it
얘긴 ,The story
안전한 ,safe
실수를 ,Make a mistake
미리 ,beforehand 
모를 ,I don't know
명이 ,Myung
사랑에 ,In love
전엔 ,Before
갔어요 ,I went
갖다 ,Take
대화를 ,Have a conversation
하나는 ,One is
벤 ,Ben
지도 ,map 
가능성이 ,Possibility
하는게 ,What I'm doing
있는데요 ,I have it
실은 ,Actually
먹는 ,eating
확인 ,check 
심각한 ,serious
달라고 ,Ask for it
것만 ,Only that
있기 ,Be there
그와 ,With him
형사님 ,Detective
모르죠 ,I don't know
몰랐어요 ,I didn't know
결정을 ,Make a decision
파티 ,party 
날이 ,The day
최악의 ,The worst
많아요 ,There are many
죄송하지만 ,"I'm sorry, but"
있었는지 ,Was there
미스터 ,Mr.
평범한 ,Ordinary
뜻이야 ,It means
올게 ,I'll come
살인 ,Murder
있겠죠 ,Surely
들을 ,Listen
믿어요 ,I believe you
우선 ,first of all 
마시고 ,Drink
당신들이 ,You guys
자네도 ,You too
혼자서 ,alone
심장 ,heart 
좋은데 ,It's good
그런거 ,Something like that
그들에게 ,To them
녀석이 ,That guy
하면서 ,While doing
좋아하지 ,I like it
너희가 ,You guys
처음부터 ,From the beginning
심장이 ,My heart
보낼 ,Send
가만 ,Stay still
않는다면 ,If not
심장을 ,heart
자넬 ,Janelle
뭐라구요 ,What did you say?
갔다 ,Went
고양이 ,cat 
위치를 ,Location
첫번째 ,first 
생각도 ,I also thought
동생 ,younger brother
못했어 ,I couldn't do it
않았다 ,Didn't
내버려 ,Leave it alone
진심으로 ,sincerely 
당연하죠 ,of course 
번도 ,Number
둘다 ,Both
과장님 ,Manager
중입니다 ,I'm in the middle of it
마침내 ,Finally
씨가 ,Seed
검은 ,black
오말리 ,O'Malley
봐도 ,Even if I look
적도 ,equator
아닐 ,No
다리 ,leg 
무기를 ,Weapon
주면 ,If you give it to me
돌아 ,Come back
릴리 ,Lily
뭔가가 ,Something
따로 ,separately 
없으니까 ,Because there isn't any
어디야 ,where are you 
끝까지 ,Until the end
준비해 ,Get ready
카메라 ,camera 
아무튼 ,anyway 
알다시피 ,As you know
죽으면 ,When I die
않죠 ,No
만나 ,Meet
않나 ,Isn't it?
아니라면 ,If not
임마 ,Imma
중이에요 ,I'm in the middle
누군가를 ,Someone
있을지 ,Will it be possible?
있단 ,There is
돌아와 ,Come back
메리 ,merry 
보자고 ,Let's meet
돼서 ,So
들어갈 ,Go in
않지 ,No
목을 ,Neck
마크 ,mark 
정도는 ,The degree
아는데 ,I know
게임 ,game 
강한 ,strong
정말이야 ,Really
받는 ,Receiving
물건을 ,Things
무서워 ,scared 
것으로 ,As such
얘기할 ,Talk
싶었어요 ,I wanted to
수정 ,correction 
걱정하지 ,Don't worry
뭐에요 ,What is it?
제길 ,Damn it
가치가 ,worth
말인지 ,Is that right?
수술이 ,The surgery
없다면 ,If not
톰 ,Tom
클라라 ,Clara
삼촌 ,uncle 
찾은 ,Found
질문 ,question 
저들이 ,They
서로를 ,each other
얼굴이 ,The face
아무래도 ,I guess
당신들은 ,You guys
사건을 ,The incident
됐죠 ,Okay
꿈 ,dream 
입은 ,mouth
받았어 ,I got it
할수 ,Can do
빠져 ,Get out
물을 ,water
아기가 ,The baby
닉 ,Nick
것과 ,and
명령을 ,command
부터 ,from 
거라면 ,If so
죽이는 ,Killing
정신이 ,Mind
아파 ,it hurts 
모르겠네 ,I don't know
똑같이 ,Same
꽤나 ,Quite
되잖아 ,It's okay
형이 ,My brother
밑에 ,Below
아니었어요 ,"No, it wasn't"
어렸을 ,When I was young
말했어요 ,I said
그만해요 ,Stop it
에서 ,at 
학교에 ,At school
아무런 ,Nothing
글로리아 ,Gloria
반 ,half 
아이들이 ,The children
그리곤 ,And then
거냐 ,Is that so?
한데 ,But
아버지의 ,Father's
받지 ,Receive
일하고 ,Working
말이오 ,That's what I'm saying
없나요 ,Is there none?
원한다면 ,If you want
생각할 ,Think about it
버려 ,Throw it away
즉시 ,immediately 
거대한 ,huge
가봐 ,Go ahead
발 ,foot 
들어가서 ,Go in
시작 ,start 
사람에게 ,To people
내놔 ,Give it to me
행복한 ,happy 
나머지 ,remain 
윌 ,Will
도와 ,Help
노래를 ,sing a song
왔는데 ,I came
요원 ,Agent
되게 ,Really
누구죠 ,Who is it?
얼굴에 ,On the face
하실 ,Will do
환영합니다 ,welcome 
걸까 ,I wonder
되겠지 ,It'll work out
괜찮지 ,It's okay
하던 ,Was doing
아내를 ,My wife
놈의 ,That bastard
미쳤어 ,it's crazy 
이것도 ,This too
일부러 ,on purpose 
혹은 ,Or
나올 ,Come out
찾으러 ,To find
걔는 ,He is
잡을 ,catch
똑바로 ,Straight
얻을 ,Get
이해해 ,I understand
무지 ,Ignorance
쪽으로 ,Towards
무슨일이 ,What happened
이해할 ,Understand
친구야 ,Hey friend
어머니가 ,My mother
질문을 ,Ask a question
워 ,woah 
엎드려 ,Lie down
있단다 ,There is
너희들이 ,You guys
놈들 ,Those guys
병원에서 ,At the hospital
친구는 ,My friend
믿는 ,believe
회사 ,company 
떨어진 ,Fallen
간에 ,In the liver
쪽 ,Side
다야 ,That's it
선물 ,gift 
안되는 ,It doesn't work
찾아서 ,Find it
전쟁을 ,war
친구들이 ,Friends
마이클 ,Michael
싸울 ,Fight
만나고 ,Meet
기다리는 ,waiting
쉬운 ,Easy
매니 ,Manny
말로는 ,In words
관심이 ,I'm interested
에이미 ,Amy
사람이에요 ,I'm a person
끝난 ,finished
원치 ,Want
재밌는 ,Fun
말인데 ,I mean
그렇겠지 ,I guess so
피 ,blood 
예전에 ,In the past
건배 ,Cheers
뭔데요 ,What is it?
알면 ,If you know
엄마도 ,Mom too
것들이 ,Things
하려는 ,I want to do
맨날 ,Every day
있군 ,There it is
물러서 ,Step back
숨 ,Breath
팔 ,eight 
더러운 ,dirty
옳은 ,Correct
출혈이 ,Bleeding
즐거운 ,happy 
다음엔 ,Next time
뭐해 ,What are you doing 
준비됐어 ,I'm ready
검사 ,test 
제기랄 ,Damn it
길이 ,length 
나만 ,Just me
있고요 ,"Yes, there is"
이것은 ,This is
좋겠다 ,I wish
전에도 ,Before too
함장님 ,Captain
나쁘지 ,Not bad
관해 ,About
원 ,one 
죽음을 ,Death
사람들의 ,People's
해라 ,Do it
알잖아요 ,You know
거란 ,Khitan
다리를 ,legs
어젯밤에 ,Last night
보내고 ,Send
쟤가 ,That guy
오후 ,afternoon 
영향을 ,Influence
바라는 ,I hope
만나러 ,To meet
이러는 ,Like this
다음은 ,Next is
보죠 ,Let's see
말해야 ,I have to say
몸에 ,On the body
아빠한테 ,To Dad
약속을 ,promise
드릴게요 ,I'll give it to you
미안하다 ,sorry 
바람 ,wind 
있다고요 ,I have it
은 ,silver 
하나를 ,One
최소한 ,At least
전하 ,majesty 
조니 ,Johnny
발사 ,Launch
무서운 ,scary 
못하고 ,I can't
이길 ,win
일어날 ,Wake up
말하자면 ,So to speak
까지 ,until 
나보다 ,Than me
둘은 ,The two
놈들은 ,Those guys
능력을 ,ability
차에서 ,In the car
않네 ,No
생각했어요 ,I thought
그랬죠 ,"Yes, that's right"
상처를 ,wound
생겼어 ,It looks like this
물이 ,The water
가까운 ,Nearby
켄 ,Ken
없나 ,Is there none?
보라고 ,Look
불을 ,Fire
종일 ,All day
레이 ,ray 
아이구 ,Oh my
미래를 ,The future
하나의 ,One
점심 ,lunch 
나가요 ,I'm going out
최근에 ,Recently
있었다고 ,There was
최고 ,best 
가라 ,good 
파티에 ,At the party
진짜야 ,It's true
아픈 ,sick
리가 ,Riga
것들 ,Things
전에는 ,Before
맞았어 ,That's right
걸어 ,Walk
않나요 ,Isn't it?
효과가 ,The effect
때부터 ,From that time
수술에 ,For surgery
되나요 ,Is it possible?
도시 ,city ​​
아래 ,under 
모릅니다 ,I don't know
자리 ,seat 
죄를 ,Sin
가져다 ,Bring it
감히 ,Dare
진심이야 ,I'm serious
돌려 ,Turn
뭐하고 ,What are you doing?
누구지 ,Who is it?
아닌가요 ,Isn't it?
저흰 ,We
일인지 ,Is it a job?
인간의 ,human
저의 ,My
그땐 ,At that time
명의 ,Name
남았어 ,There's some left
하루종일 ,All day long
자막 ,Subtitles
쉽지 ,Easy
하러 ,To do
전까지 ,Until now
냄새 ,smell
갈래 ,Branch
여기선 ,Here
생명을 ,life
바꿀 ,Change
아내 ,wife
어떻게든 ,Somehow
필요로 ,As needed
문이 ,The door
술을 ,Drinking alcohol
끝나면 ,When it's over
왔지 ,I came
무기 ,weapon 
버리고 ,Throw it away
지역 ,region 
해줘요 ,Please do it
어젯밤 ,Last night
된다면 ,If possible
올려 ,Upload
싶다면 ,If you want
좋게 ,Good
될지 ,Will it work?
끌고 ,drag
거래를 ,Make a deal
볼까 ,Should I see it?
조심해요 ,Be careful
지금부터 ,From now on
폐하 ,your majesty 
만 ,only 
미안한데 ,I'm sorry
축하해 ,congratulations 
하 ,under 
인생 ,Life
안전하게 ,safely
말하길 ,Said
언니가 ,My sister
유명한 ,famous 
숨어 ,Hide
로 ,as 
밤새 ,All night
처음엔 ,At first
나요 ,It's me
잠을 ,sleep
세상은 ,The world is
얘는 ,This guy
오랜 ,Long time
최근 ,recent 
좋죠 ,Good
카레브 ,Carew
내말은 ,What I mean is
리처드 ,Richard
사람한테 ,To people
학교에서 ,At school
달려 ,Run
갈거야 ,I'm going
왼쪽 ,left 
사실이 ,It's true
경우 ,case 
안해 ,No
수많은 ,Numerous
가기 ,Go
귀여운 ,cute 
채 ,stick 
크리스 ,chris 
하니 ,hani 
소식을 ,News
의미가 ,The meaning
사람과 ,With people
받았어요 ,I got it
됐습니다 ,Okay
전쟁 ,war
손이 ,Hand
장난 ,joke 
괜찮니 ,Are you okay?
시작해 ,Start
아니니까 ,No
스콧 ,Scott
드릴까요 ,Would you like some?
마셔 ,Drink
쿠키 ,cookie 
보이는데 ,I can see it
끝났어요 ,It's over
방에서 ,In the room
카라 ,Kara
담배 ,cigarette 
잘하고 ,Well done
내겐 ,For me
저에게 ,To me
파티를 ,party
폴 ,Paul
뿐이지 ,That's all
맘대로 ,As you wish
전해 ,I told you
데리러 ,Pick up
장 ,page 
삶의 ,of life
괜찮습니다 ,it's okay 
찰리 ,Charlie
없었다 ,There wasn't any
영국 ,uk 
왔네 ,Here you go
필요합니다 ,I need it
라 ,la 
대니 ,Danny
이상해 ,It's weird
사건이 ,The incident
매번 ,Every time
거잖아요 ,That's right
보스 ,boss 
걸세 ,Girl
생각해봐 ,Think about it
오신 ,Welcome
비밀을 ,Secret
있긴 ,There is
개를 ,dog
간다고 ,I'm going
빠르게 ,fast 
생각합니다 ,I think
괜찮으세요 ,Are you okay?
어찌 ,How
오른쪽 ,right 
말로 ,In words
위험해 ,It's dangerous
범인은 ,The culprit is
가방 ,bag 
떠나지 ,Don't leave
만들었어 ,I made it
싶다고 ,I want to
개가 ,The dog
뉴욕 ,New York
그러세요 ,"Yes, that's right"
먼 ,far 
있는거 ,There is
이따 ,Later
느낄 ,feel
우와 ,wow 
위하여 ,For
열쇠 ,key
도시를 ,The city
낼 ,Tomorrow
바닥에 ,On the floor
든 ,All
생각했는데 ,I thought about it
진 ,jin 
말했지 ,I told you
가르쳐 ,Teach
마찬가지야 ,Same thing
깊은 ,deep
났어 ,Got it
물건 ,thing 
금지 ,Prohibition
살아있는 ,alive
또는 ,or 
찾으면 ,If you find it
존나 ,Fucking hell
떠나 ,Leave
가죠 ,Let's go
사람들도 ,People too
않았습니다 ,Didn't
파블로 ,Pablo
선물을 ,A gift
자격이 ,Qualification
스스로를 ,myself
마을 ,village
손으로 ,By hand
누나 ,Sister
놈들을 ,Those guys
때문이지 ,Because
비슷한 ,Similar
없이는 ,Without
갑니다 ,I'm going
계신 ,You are here
아가야 ,Baby
시체를 ,The body
데려가 ,Take me
말해요 ,Tell me
자가 ,Self
옳지 ,Right
어릴 ,When I was young
듯 ,Seems
된다는 ,It can be done
잘못이 ,It's my fault
아시죠 ,You know
동시에 ,at the same time 
형은 ,My brother
안다고 ,I know
이동 ,movement 
음식을 ,food
아빠랑 ,With dad
전까진 ,Until now
고작 ,At most
만들지 ,Make it
해야할 ,Must do
준비를 ,Get ready
못했어요 ,I couldn't do it
번역 ,translation 
범인이 ,The culprit
죽이려고 ,To kill
수술은 ,The surgery is
뿐 ,Only
싶을 ,I want to
누구나 ,Anyone
우리랑 ,With us
너희들은 ,You guys
언제부터 ,Since when
누구든 ,Anyone
관심을 ,Interest
관련된 ,Related
음식 ,food 
걸릴 ,Take
소릴 ,Sound
왕이 ,The king
찾지 ,Find
약속 ,promise 
들려요 ,I can hear you
온다 ,Coming
어떤지 ,How is it
보여줘 ,show me 
생각이야 ,I think so
무척 ,Very much
치프 ,Chief
인간이 ,Humans
선생 ,teacher 
알겠죠 ,You understand
대해선 ,About Daehan
않네요 ,No
개인 ,individual 
전부터 ,From before
데이비드 ,David
잘됐네 ,That's good
내려놔 ,Put it down
놀라운 ,Amazing
엄청나게 ,Incredibly
똑똑한 ,smart 
행동을 ,Action
위험을 ,Risk
연락 ,Contact
도 ,do 
화장실 ,restroom 
년 ,year 
사랑은 ,Love is
부르는 ,Calling
생기면 ,If it happens
부모님이 ,My parents
부인이 ,My wife
하겠습니다 ,I will do it
넣어 ,Put it in
힘들어 ,it's hard 
감정을 ,Feelings
커다란 ,big
빠진 ,Missing
위에서 ,From above
진정해요 ,Calm down
세상의 ,of the world
싶진 ,I don't want to
형님 ,older brother 
돌아오지 ,Don't come back
방을 ,The room
결과를 ,The results
있으세요 ,Are you there?
않았지 ,Didn't
소식이 ,The news
임무를 ,Mission
사장님 ,president 
하긴 ,but 
하나요 ,One
남아 ,Remain
듣지 ,Don't listen
신 ,god 
오빠가 ,My brother
앨리슨 ,Allison
아내는 ,My wife
하자고 ,Let's do it
보안 ,security 
맞습니다 ,you're right 
아래로 ,Down
버크 ,Burke
이러면 ,If this happens
약간의 ,A little bit
모르겠는데 ,I don't know
대부분 ,mostly 
없었죠 ,There wasn't any
원해요 ,I want it
모르잖아 ,I don't know
미안합니다 ,I'm sorry 
누구요 ,Who are you?
싸우고 ,Fighting
없군 ,There isn't any
줬어 ,I gave it to you
저와 ,Me and
할래 ,I want to
같구나 ,Same
됐네 ,Okay
왔을 ,Came
대학 ,university 
드릴 ,drill
좀더 ,A little more
검사를 ,Inspection
예전 ,Old
싶습니다 ,I want to
스티븐스 ,Stevens
이거야 ,This is it
있겠어요 ,I guess so
않았을 ,Wouldn't have
나가는 ,Going out
반갑습니다 ,Nice to meet you 
아저씨가 ,The old man
질 ,Quality
기억을 ,Memories
돕고 ,Helping
죽기 ,To die
봤을 ,I saw it
섹스 ,sex
올게요 ,I'll come
떠난 ,Left
하네요 ,Yes
누구랑 ,With whom
앤 ,Anne
누군가는 ,Someone
아들은 ,My son
바 ,bar 
마음대로 ,As you wish
만나게 ,Meet
않아서 ,Because I didn't
결혼을 ,Marriage
보니까 ,I see
씨는 ,The seeds
잃은 ,Lost
그런게 ,That's it
엄만 ,Mom
해봐요 ,Try it
빨간 ,red
때문이죠 ,Because
강력한 ,strong
환자의 ,The patient's
대통령님 ,Mr. President
맥주 ,beer 
아니거든 ,"No, it's not"
얘기하는 ,Talking
중요하지 ,It's not important
늦었어 ,It's late
남편은 ,My husband
크고 ,big
두번째 ,second 
해서요 ,So
연락을 ,Contact
왜죠 ,Why?
나무 ,tree 
만세 ,Long live
쉐퍼드 ,Shepherd
자유 ,freedom 
관계를 ,relationship
싸우는 ,fighting
거라는 ,That's it
경찰에 ,To the police
기다릴 ,Wait
여행 ,travel 
이제야 ,Just now
여자랑 ,With a girl
그곳에 ,There
치료를 ,Treatment
자네에게 ,To you
종류의 ,Kind of
연락이 ,Contact
줄까 ,Should I give it to you?
안했어 ,I didn't do it
고 ,go 
만나는 ,Meet
달린 ,Run
루시 ,Lucy
그렇군 ,I see
않을까 ,Won't it?
안그래 ,No
전화해서 ,Call me
나와서 ,Come out
지금이 ,Now is
괜찮을거야 ,It'll be okay
세게 ,Hard
이것이 ,This is
신발 ,shoes 
답을 ,The answer
팀이 ,The team
괜히 ,For no reason
헤일리 ,Hailey
셰퍼드 ,Shepherd
있을지도 ,There might be
서서 ,Standing
애야 ,Hey
결과가 ,The result
해냈어 ,I did it
했나 ,Did you do it?
별거 ,Separation
러시아 ,russia 
아빤 ,Dad
알겠다 ,i get it 
밤을 ,The night
루시퍼 ,Lucifer
전화해 ,Call me
달리 ,Dali
이야기는 ,The story is
친한 ,close
하겠어 ,I will do it
어떤가 ,How is it?
증거가 ,The evidence
사랑이 ,Love
깜짝 ,Surprise
있었을 ,There was
가봐야 ,I have to go
행복해 ,I'm happy
대부분의 ,Most of
생각한 ,I thought
침대 ,bed 
넣고 ,Put it in
밑에서 ,From below
않았죠 ,No
걸고 ,Hang it
증거를 ,Evidence
칼을 ,The knife
게임을 ,Play the game
침대에 ,On the bed
가족은 ,The family
봅시다 ,Let's see
타마오 ,Tamao
나왔어 ,I'm out
거래 ,transaction 
행복하게 ,happily
녀석은 ,The guy
영혼을 ,soul
삶은 ,Life
위험에 ,In danger
끝날 ,End
두려워 ,I'm scared
개인적인 ,personal
아버진 ,Father
저들은 ,They are
뭡니까 ,What is it?
즉 ,in other words 
년 ,year 
미스 ,miss 
중국 ,china 
속 ,inside 
걱정마 ,don't worry 
여지가 ,There is room
가라고 ,Go
가야지 ,I have to go
집은 ,The house
봐서 ,Look
결혼식 ,wedding
자를 ,Cut
기꺼이 ,Willingly
없으니 ,There isn't any
여기야 ,Here it is
오게 ,Come on
싫어하는 ,I hate it
하시는 ,Are you doing it?
몇몇 ,Some
있다가 ,After a while
확실한 ,sure 
물어봐 ,Ask
필요하면 ,If necessary
누구한테 ,To whom
결과 ,result 
없었지 ,There wasn't any
말게 ,Stop it
정신을 ,Mind
부르지 ,Don't call
케빈 ,Kevin
제시 ,proposal 
그쪽 ,That side
새끼야 ,Hey kid
불이 ,Fire
영화를 ,Watch the movie
맨 ,Man
나한텐 ,To me
늦게 ,Late
간단한 ,Simple
상당히 ,quite 
너흰 ,You guys
발을 ,Feet
이후 ,After that
이리로 ,Come here
보입니다 ,I can see it
줄래 ,Do you want to?
돈도 ,Money too
다르게 ,differently
삶이 ,Life is
다치게 ,Hurt
뿐입니다 ,That's all
생각보다 ,More than I thought
나에 ,To me
차는 ,The car
살짝 ,slightly
못하면 ,If you can't
상처 ,wound 
필요도 ,Need too
하셨어요 ,You did it
곳이야 ,It's a place
죽음의 ,of death
빈 ,bean 
필요없어 ,No need
농담 ,joke 
번만 ,Just once
번이나 ,Number of times
있는건 ,What is there is
드세요 ,Eat
어쩌다 ,How come
잡았어 ,Got it
동생이 ,My younger brother
뭐냐 ,What is it?
미첼 ,Mitchell
건물 ,building 
있대 ,They say it's there
여자야 ,She's a girl
좋아할 ,I like it
인생은 ,Life is
챙겨 ,Take care
됐고 ,Done
이상하게 ,Strangely
잃을 ,Lose
모른다고 ,I don't know
생각하면 ,If you think about it
거라고요 ,That's it
인생이 ,Life is
약속해 ,I promise
자동차 ,automobile 
들어봐요 ,Listen up
없을거야 ,There won't be any
예를 ,For example
돌아가서 ,Go back
편지를 ,A letter
빌리 ,Billy
분 ,minute 
안다 ,I know
일하러 ,Go to work
걸린 ,Got caught
질문에 ,To the question
뒤에서 ,From behind
미 ,mi 
주에 ,In the week
말했죠 ,I told you
너희는 ,You guys
끝나고 ,After finishing
말에 ,In words
대통령 ,president 
보냈어 ,I sent it
안나 ,Anna
시간이야 ,It's time
춤을 ,dance
오늘이 ,Today is
행크 ,Hank
달러 ,dollar
끝이야 ,It's over
에이버리 ,Avery
거네 ,Yes
일주일 ,a week
꼬마 ,Little boy
가슴 ,chest
완료 ,complete 
이야 ,Hey
한가지 ,One thing
어딨어요 ,Where are you?
아니겠지 ,No way
갈까 ,Should I go?
아들아 ,Son
배리 ,Barry
땅에 ,On the ground
신은 ,God
고맙소 ,Thank you
신경쓰지 ,Don't mind
나왔어요 ,I'm out
누군데 ,Who is it?
분 ,minute 
있었잖아 ,It was there
어딨는지 ,Where is it?
남편을 ,My husband
비록 ,Although
뒤를 ,Behind
너야 ,It's you
마십시오 ,Do not
딘 ,Dean
그만둬 ,Stop it
받아야 ,I need to receive it
마실 ,Drink
심하게 ,severely
분 ,minute 
들었는데 ,I heard
오기 ,Come
없게 ,No
소중한 ,precious 
개의 ,dog's
할아버지가 ,My grandfather
어쩌지 ,What should I do?
가려고 ,To go
호텔 ,hotel
듣는 ,Listening
나이 ,age 
일종의 ,kind of 
필요하지 ,I don't need it
일들이 ,Things
더욱 ,More
안되요 ,No way
제이크 ,Jake
치워 ,Put it away
저도요 ,me too 
거였어 ,That was it
엄마의 ,Mom's
인생의 ,of life
할머니가 ,My grandmother
당신이랑 ,With you
거군요 ,I see
지내 ,Stay
아기는 ,The baby
어떨까 ,How about it?
아니네 ,No
경찰을 ,The police
쉬어 ,Rest
해결할 ,To solve
전화가 ,The phone
공격을 ,Attack
아니라는 ,No
신부님 ,Father
별일 ,Something strange
하느님 ,God
걱정할 ,No need to worry
사고가 ,The accident
찾기 ,Find
길에 ,On the road
보이네 ,I see it
나가야 ,I have to go out
데려와 ,Bring it
사람들과 ,With people
빠른 ,fast 
돌아가는 ,Going back
일들을 ,Things
말해봐요 ,Tell me
신을 ,God
자말 ,Jamal
수밖에 ,No choice but to
줬어요 ,I gave it to you
걸려 ,Hanging
이대로 ,Like this
에이 ,no way 
보내는 ,Sending
어머니는 ,Mother
가득 ,full
보여줄 ,Show
않도록 ,So as not to
아이의 ,Child's
있다구요 ,There is
안됩니다 ,No
힘 ,strength 
바람에 ,In the wind
헬렌 ,Helen
및 ,and 
않은데 ,No
쓰레기 ,trash 
들었지 ,I heard
